	term	tag	value	pstv	ngtv	neut	dunno	pstvNgtvDisagreementRatio	Female	Male	F - M
29034	полубогиня	NEUT	0.51	0.382	0.088	0.373	0.157	0.0	0.611	0.56	0.051
29035	полубред	NGTV	-0.65	0.059	0.51	0.333	0.098	0.0	0.526	0.628	-0.102
29036	полувековой	NEUT	0.0	0.128	0.043	0.701	0.128	0.0	0.415	0.673	-0.258
29037	полуверста	NEUT	0.05	0.165	0.061	0.579	0.195	0.0	0.506	0.549	-0.043
29038	полувоенный	NEUT	-0.01	0.124	0.152	0.591	0.133	0.0	0.366	0.601	-0.235
29039	полувопросительный	NEUT	0.0	0.074	0.0	0.741	0.185	0.0	0.444	0.635	-0.191
29040	полугодие	NEUT	0.0	0.161	0.036	0.714	0.089	0.0	0.654	0.659	-0.005
29041	полугодичный	NEUT	0.0	0.114	0.023	0.727	0.136	0.0	0.515	0.657	-0.142
29042	полугодовалый	NEUT	0.0	0.106	0.043	0.553	0.298	0.0	0.498	0.687	-0.189
29043	полугодовой	NEUT	0.0	0.132	0.026	0.737	0.105	0.0	0.509	0.61	-0.101
29044	полуголодный	NGTV	-0.53	0.084	0.437	0.403	0.076	0.0	0.513	0.644	-0.131
29045	полуголый	NEUT	-0.08	0.043	0.213	0.68	0.064	0.0	0.519	0.642	-0.123
29046	полуграмотный	NGTV	-0.78	0.071	0.563	0.263	0.103	0.0	0.283	0.707	-0.424
29047	полуденный	NEUT	0.0	0.118	0.059	0.676	0.147	0.0	0.507	0.596	-0.089
29048	полудикий	NGTV	-0.39	0.08	0.34	0.47	0.11	0.0	0.428	0.701	-0.273
29049	полудрагоценный	NEUT	0.35	0.36	0.05	0.55	0.04	0.0	0.492	0.708	-0.216
29050	полудремота	NEUT	0.1	0.195	0.052	0.584	0.169	0.0	0.441	0.463	-0.022
29051	полудрёма	NEUT	0.1	0.2	0.055	0.6	0.145	0.0	0.515	0.587	-0.072
29052	полудуга	NEUT	0.01	0.13	0.043	0.501	0.326	0.0	0.486	0.585	-0.099
29053	полудурок	NGTV	-1.0	0.032	0.774	0.129	0.065	0.0	0.419	0.656	-0.237
29054	полуживой	NGTV	-0.88	0.07	0.651	0.232	0.047	0.0	0.475	0.46	0.015
